,group
CK-1,CK
CK-2,CK
CK-3,CK
CK-4,CK
CK-5,CK
EA-1,EA
EA-2,EA
EA-3,EA
EA-4,EA
EA-5,EA
ET-1,ET
ET-2,ET
ET-3,ET
ET-4,ET
ET-5,ET
